composer,composer_cyrillic,gender,birth,death,currently,diaspora,studied,taught,worked,member_of_National_Union_of_Composers_of_Ukraine,sources,personal_website,in_contact
"ABRAMSKY, Oleksandr","Абрамський, Олександр",Male,"January 22nd, 1898 in Lutsk, Ukraine","August 29th, 1985 in Moscow, Russia",-,-,MSC (1927) comp with M. Myaskovsky,various music schools ,"folklorist, music critic",-,"Ho (3), Musicalics, Piirainen, Shank (49–50), UME (I: 19–20), Vodarsky (9)",-,-
"AKIMENKO, Theodore","Якименко, Федір",Male,"February (Julian calendar)/September (Gregorian) 20th or 22nd, 1876* (sources conflict on the date 20th or 22nd) in Pisky, Kharkiv (brother is Yakov Stepovyi)","January 3rd, 1945 in Paris, France (on his grave marked “Ukrainian composer”)",-,"Prague, Czech (1924), Nice then Paris France (1926-45)","Imperial Chapel in St Petersburg (1990) comp with Balakirev & Lyapunov, SPSC (1900) comp with Liadov & Rimsky-Korsakov","director of a music school in Tbilisi (1901-03), SPSC (1914-1923) taught Igor Stravinsky, Drahomanov Ukrainian Institute of Higher Education (1924-26)","pianist in France, Switzerland (1903-06), wrote “A Practical Course in Harmony” (1926)",-,"Baley, Gnativ (14), Grove, Ho (8-9), IEU, Mukha (340-41), Shank (52), Slonimsky (98), Sonevystky (91-92), UASP, UL, Vilkova (352-53), Vodarsky (11), VUE",-,-
"ALBUL, Oleksandr","Албул, Олександр",Male,"January 2nd, 1955 in Vynnyky, Lviv Oblast, Ukraine",-,-,-,"LNMA (1984) comp with D. Zádor, (1996) Master in instrument repair",LNU (1984–1996),-,joined (1999),"ESU, Mukha (12), UME (I: 41), Vilkova (6), NUCU website, 2006 (74)",-,via email 
"ALMASHI, Zoltan","Алмаші, Золтан",Male,"1975 in Lviv, Ukraine (musical family, violinists)",-,-,-,"LNMA (1998) vlc, (1999) comp with Y. Laniuk, NMAU (2002)Phd with comp with Y. Stankovych; Private studies 2008 in Poland with A. Larson",NMAU,"vlc soloist with Kyiv Camerata (2000–), Ricochet Contemporary Music Ensemble (2000–), Nostri Temporis (2007–), & New Music Ukraine, founder & artistic director of Levko Revutsky String Quartet (2018–) & Gulfstream Chamber Music Festival (2012–)",joined (2001),"ESU, Gnativ (15), Mukha (14), UL, UMW, Vilkova (9), VUE, NUCU website, 2006 (9)",-,via email 
"ANDRIEVA, Olena","Андрєєва, Олена",Female,"June 15th, 1914 in St Petersburg, Russia","June 6th, 2007 in Kyiv, Ukraine",-,-,"Luhansk Mechanical Engineering Technicum (1935), NMAU (1945) history/theory, comp with L. Revutsky",NMAU & KLMS (19442–67) music theory ,"Luhansk steam locomotive plant, editor for Soviet Composers (1960-90), Mystetystvo (1963–90), Muzychna Ukraina (1967–90), author of theory textbook & music dictionary",joined (1945),"Dyntynyak (15), Karas (763), Mukha (15 –16), Rozhok, Shank (58), Sonevytsky (13), UME (I: 63–64), VUE, 1968 (3–4) 1978 (4) 1984 (5), 2006 (9)",-,-
"ANDROSYUK, Petro","Андросюк, Петро",Male,"July 25th, 1912 in Kharkiv, Ukraine","1976 or 1978 in Kharkiv, Ukraine",-,-,"KhNUA (1946) music theory, comp with S. Bogatyrov","KhMS (1946–71), KhNUA (1950–71) music theory",-,-,"ESU, Mukha (16–17), UME (I: 67)",-,-
"ANTONYUK, Valeriy","Антонюк, Валерій",Male,"August 11th, 1979 in Derenkovets, Cherkasy oblast, Ukraine",-,-,-,"GKIM (1998) folk instruments sopilka & dulcimer, NMAU (2003) & (2008) comp with G. Liashenko; Private studies: comp with V. Kyreyko  ",-,"pianist, composer",joined (2004),"ESU, Mukha (17), UL, NUCU website, 2006 (10)",-,via email 
"AREDO, Diana","Аредо, Діана",Female,"July 10th, 1994 in Donetsk, Ukraine",-,Germany,Germany,"Belarusian State Academy of Music pno, NMAU (2018) pno, Musikhochschule Lübeck (2021) pno",-,accompanist at the Belarusian State Academy of Music (2014–17),-,-,-,via email
"ARKHYPOVA, Olena","Архипова, Олена",Female,"1985 in Dnipro, Ukraine",-,-,-,"LuC (2005) pno, (2010) & (2012) comp with S. Turneev","Luhansk Music School no. 2 (2010–2014), DAM (2016–)","lecturer & musicologist at Luhansk Philharmonic (2010), announcer for “Pulse” Luhansk Radio (2011)","joined (2015), president of Dnipro branch (2020–)",-,-,via email 
"ARKUSHYNA, Anna","Аркушина, Анна ",Female,"1989 in Lutsk, Ukraine",-,"Graz, Austria",Austria,"Kyiv Special Music College (2009) theory, comp with A. Zagaykevych, NMAU (2014) comp with Y. Stankovych, University of Music & Performing Arts Graz (2017) comp with B. Furrer, IEM Graz (2019) studied with M. Cicilliani & D. Mayer, IRCAM (2023) Cursus Program in Composition & Computer Music, University of Music & Performing Arts Graz (2024) comp with F. Bedrossian; Private lessons with D. Kourliandski, C. Bauckholt, S. Gervasoni",-,artist-in-residence at Kulturstiftung Schloss Wiepersdorf in Germany (2024),-,"LCP, UCMF",https://www.annaarkushyna.com/,-
